trace,config,num_reads,num_writes,num_inst,tot_ref,read_cycles,write_cycles,inst_cycles,tot_time,avg_cyc_per_read,avg_cyc_per_write,avg_inst_per_inst,L1i_hits,L1i_miss,L1i_total,L1i_kickout,L1i_dirty_k,L1i_transfer,L1d_hits,L1d_miss,L1d_total,L1d_kickout,L1d_dirty_k,L1d_transfer,L2_hits,L2_miss,L2_total,L2_kickout,L2_dirty_k,L2_transfer,L1i_cost,L1d_cost,L2_cost,mem_cost,tot_cost
bzip2,L1-small,1874397115,567216161,7558386724,10000000000,21179555688,17952916491,11990524495,51122996674,11.30,31.65,1.59,11965490130,1102823,11966592953,1102695,0,1102823,2336029598,205697738,2541727336,205697610,84391651,205697738,141445647,149746565,291192212,149746053,66393690,149746565,100,100,50,75,325
bzip2,L2-4way,1874397115,567216161,7558386724,10000000000,19218012465,18215958176,11967539859,49401510500,10.25,32.11,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,88469976,147286449,235756425,147285937,63727745,147286449,400,400,150,75,1025
bzip2,L2-Big,1874397115,567216161,7558386724,10000000000,18767801181,18297521656,11967513511,49032836348,10.01,32.26,1.58,11966585724,7229,11966592953,6973,0,7229,2376682331,165045005,2541727336,165044749,70704191,165045005,90203610,145552815,235756425,145551791,62927057,145552815,400,400,50,75,925
gobmk,All-2way,1922316435,915303047,7162380518,10000000000,13195911623,12253946255,40671067195,66120925073,6.86,13.39,5.68,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,456124049,207457396,663581445,207456884,52591470,207457396,400,400,100,75,975
gobmk,All-4way,1922316435,915303047,7162380518,10000000000,11145746026,11639084956,36957387613,59742218595,5.80,12.72,5.16,11768803275,404409158,12173212433,404408902,0,404409158,3900603297,131220942,4031824239,131220686,82611655,131220942,441968289,176273466,618241755,176272954,45735493,176273466,600,600,150,75,1425
gobmk,All-FA,1922316435,915303047,7162380518,10000000000,10177636473,11625209658,32434837313,54237683444,5.29,12.70,4.53,11768474955,404737478,12173212433,404737222,0,404737478,3914924730,116899509,4031824239,116899253,74510782,116899509,449500040,146647729,596147769,146647217,40518813,146647729,1800,1800,500,75,4175
gobmk,defaults,1922316435,915303047,7162380518,10000000000,19272524246,14663275601,43519641089,77455440936,10.03,16.02,6.08,11735764313,437448120,12173212433,437447864,0,437448120,3818513808,213310431,4031824239,213310175,118587278,213310431,512333089,257012740,769345829,257012228,67734865,257012740,200,200,50,75,525
gobmk,L1-2way,1922316435,915303047,7162380518,10000000000,15208682795,13465048175,42753772271,71427503241,7.91,14.71,5.97,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,425749513,237831932,663581445,237831420,58385376,237831932,400,400,50,75,925
gobmk,L1d-small,1922316435,915303047,7162380518,10000000000,22086107086,15349814889,46086225153,83522147128,11.49,16.77,6.43,11735764313,437448120,12173212433,437447864,0,437448120,3714997049,316827190,4031824239,316827062,163593096,316827190,645196283,272672123,917868406,272671611,75739986,272672123,200,100,50,75,425
gobmk,L1i-small,1922316435,915303047,7162380518,10000000000,19646223306,14884871989,47633738421,82164833716,10.22,16.26,6.65,11581007415,592205018,12173212433,592204890,0,592205018,3818513808,213310431,4031824239,213310175,118587278,213310431,655508270,268594457,924102727,268593945,69232540,268594457,100,200,50,75,425
gobmk,L1-small,1922316435,915303047,7162380518,10000000000,22726847026,15681654857,50826690609,89235192492,11.82,17.13,7.10,11581007415,592205018,12173212433,592204890,0,592205018,3714997049,316827190,4031824239,316827062,163593096,316827190,782748031,289877273,1072625304,289876761,78461836,289877273,100,100,50,75,325
gobmk,L2-4way,1922316435,915303047,7162380518,10000000000,12081202027,11808765751,38209645975,62099613753,6.28,12.90,5.33,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,480211579,183369866,663581445,183369354,49331778,183369866,400,400,150,75,1025
gobmk,L2-Big,1922316435,915303047,7162380518,10000000000,11418689099,10604480439,35258823739,57281993277,5.94,11.59,4.92,11760551202,412661231,12173212433,412660975,0,412661231,3875982042,155842197,4031824239,155841941,95078017,155842197,502768376,160813069,663581445,160812045,38765960,160813069,400,400,50,75,925
omnetpp,All-2way,2009285423,1237898222,6752816355,10000000000,33880472608,7825980824,33797017651,75503471083,16.86,6.32,5.00,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,453267900,250138789,703406689,250138277,60980869,250138789,400,400,100,75,975
omnetpp,All-4way,2009285423,1237898222,6752816355,10000000000,29445020301,7075879230,28104895749,64625795280,14.65,5.72,4.16,11176886229,284359860,11461246089,284359604,0,284359860,5710864475,218027141,5928891616,218026885,85447461,218027141,387962332,199872130,587834462,199871618,51135782,199872130,600,600,150,75,1425
omnetpp,All-FA,2009285423,1237898222,6752816355,10000000000,25157269567,6585593574,23816702881,55559566022,12.52,5.32,3.53,11259288301,201957788,11461246089,201957532,0,201957788,5753056729,175834887,5928891616,175834631,72136579,175834887,288582036,161347218,449929254,161346706,44738929,161347218,1800,1800,500,75,4175
omnetpp,defaults,2009285423,1237898222,6752816355,10000000000,44619155042,10153638624,42244697827,97017491493,22.21,8.20,6.26,11006133158,455112931,11461246089,455112675,0,455112931,5562301532,366590084,5928891616,366589828,162590750,366590084,643964024,340329741,984293765,340329229,83598965,340329741,200,200,50,75,525
omnetpp,L1-2way,2009285423,1237898222,6752816355,10000000000,37014442624,8446268860,36503963575,81964675059,18.42,6.82,5.41,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,414993528,288413161,703406689,288412649,66670847,288413161,400,400,50,75,925
omnetpp,L1d-small,2009285423,1237898222,6752816355,10000000000,49070242502,10633561033,44716782979,104420586514,24.42,8.59,6.62,11006133158,455112931,11461246089,455112675,0,455112931,5423480899,505410717,5928891616,505410589,217210609,505410717,814325803,363408454,1177734257,363407942,87599940,363408454,200,100,50,75,425
omnetpp,L1i-small,2009285423,1237898222,6752816355,10000000000,45635285370,10298001452,49440921283,105374208105,22.71,8.32,7.32,10791448034,669798055,11461246089,669797927,0,669798055,5562301532,366590084,5928891616,366589828,162590750,366590084,830511583,368467306,1198978889,368466794,85941999,368467306,100,200,50,75,425
omnetpp,L1-small,2009285423,1237898222,6752816355,10000000000,50670291246,10804636869,52822645763,114297573878,25.22,8.73,7.82,10791448034,669798055,11461246089,669797927,0,669798055,5423480899,505410717,5928891616,505410589,217210609,505410717,992116313,400303068,1392419381,400302556,91544599,400303068,100,100,50,75,325
omnetpp,L2-4way,2009285423,1237898222,6752816355,10000000000,31083510424,7466023388,30888515511,69438049323,15.47,6.03,4.57,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,488279575,215127114,703406689,215126602,54668770,215127114,400,400,150,75,1025
omnetpp,L2-Big,2009285423,1237898222,6752816355,10000000000,29092369548,6988619336,29748059303,65829048187,14.48,5.65,4.41,11123145966,338100123,11461246089,338099867,0,338100123,5669434506,259457110,5928891616,259456854,105849456,259457110,508143677,195263012,703406689,195261988,49889384,195263012,400,400,50,75,925
